date,sin,sout,albedo,lin,lout,rh,t,u,wd,p,zu,zt,rho,q,teq,ts,qs,zq
2019-03-17,201.27895833333332,154.99239583333335,,291.125625,312.82656249999997,0.8853614583333332,274.6123958333333,2.0928125,,574.589779836254,2.0,2.0,0.4019158715251192,0.006510488079942457,290.68411954954405,272.9393821937283,0.0065073590144385735,2.0
2019-03-18,84.9584375,71.80020833333333,,281.14125,303.01270833333336,0.8833072916666667,273.66416666666663,1.405,,574.589779836254,2.0,2.0,0.4257198408139961,0.006082106764992779,288.6976942530434,271.24359129449283,0.005707993993689479,2.0
2019-03-19,112.12197916666666,94.78416666666668,,318.50145833333335,304.38197916666667,0.9199510416666667,273.66822916666666,1.6219791666666667,,574.589779836254,2.0,2.0,0.4255508224472237,0.0063259105196687634,289.30001438533014,271.2779318139565,0.005768952930442823,2.0
2019-03-20,108.971875,96.29447916666668,,309.8621875,311.51114583333333,0.9232489583333333,273.1035416666667,,,574.589779836254,2.0,2.0,0.4397358386432033,0.00607598766049837,288.1324165127596,272.8962811830092,0.006489468999040647,2.0
2019-03-21,147.8371875,116.98812500000001,,307.61645833333336,310.8953125,0.9291541666666667,273.9138541666667,1.0531249999999999,,574.589779836254,2.0,2.0,0.4187726148375747,0.0065278606855224235,290.0373997048998,272.6819522256166,0.006385833850353242,2.0
2019-03-22,,,,239.23625,302.21458333333334,0.7463416666666666,275.33135416666664,2.175104166666667,,574.589779836254,2.0,2.0,0.38132843927658744,0.005696986446942457,289.3937939691667,270.4299401595585,0.00537123396767019,2.0
2019-03-23,220.76760416666664,160.43520833333335,,230.4835416666667,295.75395833333334,0.37624062500000005,275.7383333333333,2.1436458333333333,,574.589779836254,2.0,2.0,0.3690190704358654,0.0031469789494433637,283.50500195614296,268.8665134893942,0.004884533352389609,2.0
2019-03-24,178.19270833333334,135.34333333333333,,252.560625,298.70239583333336,0.57425,274.7182291666666,1.9904166666666665,,574.589779836254,2.0,2.0,0.3975485919238419,0.004252407082994549,285.22967013857703,269.99210544490603,0.005238359207455663,2.0
2019-03-25,129.15114583333335,112.68145833333334,,286.1433333333334,304.26395833333333,0.8549916666666667,273.67468749999995,1.4059375,,574.589779836254,2.0,2.0,0.4242669574229938,0.0058976559631744654,288.2493003538867,271.21645222889236,0.005733198768531828,2.0
2019-03-26,97.06947916666667,87.58291666666666,,313.25864583333333,314.37989583333336,0.931240625,272.87218749999994,,,574.589779836254,2.0,2.0,0.4453750794214246,0.00602141209983861,287.770681180982,273.1325328802173,0.006607873238990667,2.0
2019-03-27,147.9971875,119.8075,,313.86291666666665,312.4689583333333,0.932340625,273.06947916666667,,,574.589779836254,2.0,2.0,0.44057033010179686,0.0061231872104778075,288.21429140331014,272.90877614673474,0.006492070712853585,2.0
2019-03-28,204.52072916666668,156.53072916666667,,303.7909375,310.6688541666667,0.9289583333333332,273.69374999999997,1.3813541666666669,,574.589779836254,2.0,2.0,0.4242341925691708,0.006423935504881782,289.56384382066034,272.44065345890635,0.006275886412721821,2.0
2019-03-29,172.4090625,138.016875,,281.0978125,303.46791666666667,0.9332895833333333,272.88854166666664,1.60875,,574.589779836254,2.0,2.0,0.4447929542079945,0.0060442020800616225,287.8409738618518,271.0337083843643,0.005641562156470992,2.0
2019-03-30,165.32666666666668,132.5525,,319.5384375,314.7263541666667,0.932296875,273.4607291666666,1.835625,,574.589779836254,2.0,2.0,0.4308999200299754,0.006309613867538855,289.05835860731474,273.15,0.0066172968261999825,2.0
2019-03-31,145.81979166666667,112.05666666666667,,309.4457291666667,303.9028125,0.9348697916666667,274.13197916666667,1.4421875,,574.589779836254,2.0,2.0,0.41326703656264235,0.00667803205416434,290.6183236473763,270.9833590917896,0.005632680796867109,2.0
2019-04-01,78.80697916666666,70.08416666666666,,312.313125,313.3488541666667,0.9340520833333333,273.8876041666667,1.3480208333333332,,574.589779836254,2.0,2.0,0.4206388519192233,0.006523850925365421,290.0057301205908,273.06702082390854,0.006573565615277569,2.0
2019-04-02,98.6359375,85.4228125,,316.12416666666667,310.9919791666667,0.9309572916666666,273.7377083333333,1.9341666666666668,,574.589779836254,2.0,2.0,0.4238884991310186,0.006438910174028912,289.64753829571544,272.6043563752367,0.006356252280506671,2.0
2019-04-03,127.08520833333334,114.268125,,314.73291666666665,314.008125,0.92830625,273.5936458333333,,,574.589779836254,2.0,2.0,0.4274914720681402,0.006350355741616644,289.28747119385423,273.11238135990953,0.006597236274097068,2.0
2019-04-04,264.613125,187.391875,,280.39833333333337,311.10791666666665,0.8339156249999999,273.6289583333333,2.51125,,574.589779836254,2.0,2.0,0.42672033510590546,0.0056533267138392865,287.6097216778161,272.7270307366612,0.006404073550183249,2.0
2019-04-05,297.25395833333334,208.23364583333333,,212.4459375,295.54395833333336,0.3944739583333334,273.86375,2.716875,,574.589779836254,2.0,2.0,0.4204342205217693,0.0027011395563790266,280.5564545652378,269.40887654942566,0.0050217328334826155,2.0
2019-04-06,220.23166666666668,159.37270833333335,,229.70739583333332,293.65177083333333,0.4363875,273.97729166666664,2.3394791666666666,,574.589779836254,2.0,2.0,0.4168945060615425,0.002897521703890253,281.15875022378543,269.3189989412899,0.0049579273800774626,2.0
2019-04-07,192.23479166666667,146.84666666666666,,233.91260416666668,291.4529166666667,0.637146875,272.37593749999996,2.287291666666667,,574.589779836254,2.0,2.0,0.4544209323676063,0.004057262400995036,282.42460812499866,268.08285883238045,0.004669536809842763,2.0
