date,t,pr,rh,u,sin,sout,lin,lout,SR_50 m,zatm_hourly m,Ameas - ,p,zu,zt,rho,q,teq,albedo,ts,qs,zq
2012-09-03 22:00:00,273.085,0.0,0.8265,4.665,0.0,0.0,298.55,310.885,2.953333333,2.0,1.0,590.7558198002691,2.0,0.88,0.46041951129490855,0.00529111130590976,286.1822047123786,0.274256481579589,273.15,0.006436214420643204,0.88
2012-09-03 23:00:00,272.96999999999997,0.0,0.8365,7.4,0.0,0.0,275.8,309.1,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.46338210098628146,0.0053045824397184235,286.1019728813392,0.28111654601759334,273.10048261930933,0.006410003858401347,0.88
2012-09-04 00:00:00,272.705,0.0,0.8795,7.385,0.0,0.0,289.475,309.77,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4701279827733515,0.005456531877434791,286.21516880379875,0.2859032152101085,273.15,0.006436214420643204,0.88
2012-09-04 01:00:00,273.23999999999995,0.0,0.8185,7.065,0.0,0.0,260.485,308.64,2.958333333,2.0,1.0,590.7558198002691,2.0,0.88,0.45667472919480845,0.005302190370463741,286.36239813581,0.2880667386858425,272.9988194104904,0.006356495839112753,0.88
2012-09-04 02:00:00,273.28999999999996,0.0,0.8205,7.125,9.485,5.595,254.555,308.675,2.958333333,2.0,0.589878756,590.7558198002691,2.0,0.88,0.45551328423500925,0.00533447174934214,286.4912553464051,0.2882405667730529,273.0065586474485,0.006360554852857636,0.88
2012-09-04 03:00:00,273.375,0.0,0.7949,8.575,30.91,14.59,237.03,307.145,2.963333333,2.0,0.472015529,590.7558198002691,2.0,0.88,0.4535318262652438,0.00520000054472311,286.243772744044,0.2882405667730529,272.66762717608657,0.006184989355228278,0.88
2012-09-04 04:00:00,273.08,0.0,0.8415,7.695,116.805,42.695,285.81,310.76,2.958333333,2.0,0.365523736,590.7558198002691,2.0,0.88,0.46054876526219773,0.005384918752927768,286.4084461191544,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 05:00:00,273.03499999999997,0.0,0.845,7.435,205.375,71.2,303.37,313.365,2.958333333,2.0,0.346682897,590.7558198002691,2.0,0.88,0.4617102250322665,0.0053872905988789944,286.36991389679434,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 06:00:00,273.245,0.0,0.81205,7.295,607.14,174.335,296.78,315.245,2.963333333,2.0,0.287141351,590.7558198002691,2.0,0.88,0.4565587216732885,0.005262317563915977,286.2690777999574,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 07:00:00,274.10499999999996,0.0,0.78325,6.105,957.78,228.445,288.025,318.875,2.968333333,2.0,0.238515108,590.7558198002691,2.0,0.88,0.436146074100648,0.0054015001170609886,287.4601393749444,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 08:00:00,273.88,0.0,0.8175,5.215,643.505,190.755,308.725,318.595,2.973333333,2.0,0.296431263,590.7558198002691,2.0,0.88,0.44157580089660375,0.005546908812310485,287.59619771268456,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 09:00:00,274.33,0.0,0.74035,4.335,767.415,204.325,304.715,319.18,2.963333333,2.0,0.266250985,590.7558198002691,2.0,0.88,0.4306519333315203,0.005189061406062516,287.15916513065014,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 10:00:00,274.495,0.0,0.7843,3.395,499.465,133.19,311.05,319.52,2.978333333,2.0,0.266665332,590.7558198002691,2.0,0.88,0.4265815220610909,0.0055627139301296525,288.2413952259216,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 11:00:00,274.465,0.0,0.6961,5.395,617.755,192.205,279.045,318.01,2.978333333,2.0,0.311134673,590.7558198002691,2.0,0.88,0.42732421699893947,0.004926514812321214,286.6460091488554,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 12:00:00,274.60499999999996,0.0,0.7387,6.715,333.33,112.995,249.39,316.415,2.983333333,2.0,0.33898839,590.7558198002691,2.0,0.88,0.4238482970346725,0.005280851279023177,287.6564254997477,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 13:00:00,274.23499999999996,0.0,0.74805,6.065,86.355,34.935,248.34,313.24,2.983333333,2.0,0.404550981,590.7558198002691,2.0,0.88,0.4329795867510829,0.005207298169215152,287.11031714420784,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 14:00:00,273.73499999999996,0.0,0.7558,5.275,0.0,0.0,244.08,310.225,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4450411757582357,0.005074806208949633,286.29056733947954,0.2882405667730529,273.15,0.006436214420643204,0.88
2012-09-04 15:00:00,273.525,0.0,0.6652,5.5,0.0,0.0,224.61,307.07,2.988333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4500135207544683,0.004399107383911844,284.41726753963417,0.2882647984983538,272.6509803603316,0.006176481178022172,0.88
2012-09-04 16:00:00,273.87,0.0,0.6518,1.945,0.0,0.0,221.865,302.675,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4418156388833291,0.004419406540544765,284.80844437577196,0.28800906737873305,271.6701071996119,0.005693576265588898,0.88
2012-09-04 17:00:00,273.66499999999996,0.0,0.5328,2.38,0.0,0.0,220.645,300.435,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.44670471056643224,0.0035594096188877383,282.48301878043156,0.28610733878653555,271.1660705065646,0.00545904790870605,0.88
2012-09-04 18:00:00,274.745,0.0,0.39025,4.07,0.0,0.0,222.05,300.675,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4203467868126518,0.0028180028734613696,281.7228113283614,0.279512298259215,271.22020898103756,0.005483809570661205,0.88
2012-09-04 19:00:00,274.635,0.0,0.3648,4.275,0.0,0.0,221.305,299.95,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.42310013398097834,0.00261352072500169,281.108313239793,0.2704753505299412,271.0565665913183,0.005409274613989866,0.88
2012-09-04 20:00:00,274.15999999999997,0.0,0.35685,6.335,0.0,0.0,218.28,298.78,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4348090390134915,0.0024707068641916467,280.283300183927,0.26513954514144844,270.79185486415,0.005290657717648842,0.88
2012-09-04 21:00:00,274.135,0.0,0.37995,6.915,0.0,0.0,217.0,298.66,2.998333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4354172600714067,0.002625908264327093,280.6422716970228,0.25243426757809073,270.7646610109078,0.005278607472917798,0.88
2012-09-04 22:00:00,273.97999999999996,0.0,0.33125,7.425,0.0,0.0,215.375,297.205,3.003333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4391704933736812,0.00226388525161008,279.5927295352418,0.2442804937556639,270.43428167630526,0.005134193272679366,0.88
2012-09-04 23:00:00,273.935,0.0,0.32635,8.175,0.0,0.0,215.325,296.495,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.44025444223379007,0.0022231644644670197,279.44721552926154,0.23988786117243227,270.2726250840135,0.0050648510946442,0.88
2012-09-05 00:00:00,273.76,0.0,0.3204,7.235,0.0,0.0,215.895,295.94,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4444455751256027,0.0021552123647919945,279.10500005911393,0.23376405373132053,270.1460574221397,0.0050111573250829836,0.88
2012-09-05 01:00:00,273.625,0.0,0.3357,5.34,0.0,0.0,215.315,295.155,2.993333333,2.0,1.0,590.7558198002691,2.0,0.88,0.44765256444286944,0.0022361866929922784,279.17121855135497,0.2304266109727813,269.9667339737388,0.004935971226172926,0.88
2012-09-05 02:00:00,273.62,0.0,0.3135,5.675,8.815,5.52,213.4,294.215,2.993333333,2.0,0.626205332,590.7558198002691,2.0,0.88,0.4477709064735178,0.002087551047344709,278.7982388989061,0.23099073763890207,269.75153148089703,0.004847100346061105,0.88
2012-09-05 03:00:00,273.92499999999995,0.0,0.26105,7.92,39.7,15.875,213.245,294.445,2.993333333,2.0,0.399874055,590.7558198002691,2.0,0.88,0.44049497271635357,0.0017770438588812745,278.3327690027314,0.23101517870366664,269.80423500764107,0.004868729051781679,0.88
2012-09-05 04:00:00,274.445,0.0,0.40965,8.325,616.135,176.27,217.84,306.06,2.993333333,2.0,0.286089899,590.7558198002691,2.0,0.88,0.4278186987251959,0.002895054580312556,281.61535092466704,0.23101517870366664,272.42650564546454,0.006062788611910602,0.88
2012-09-05 05:00:00,274.72499999999997,0.0,0.4875,8.035,852.93,216.7,221.775,313.905,2.988333333,2.0,0.254065398,590.7558198002691,2.0,0.88,0.4208485763044414,0.0035152013410823546,283.4243201381713,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 06:00:00,275.04499999999996,0.0,0.5032,8.5,1028.475,233.8,224.105,315.56,2.993333333,2.0,0.227326867,590.7558198002691,2.0,0.88,0.41275651833020977,0.0037125385054362537,284.2281712212848,0.23101517870366664,273.15,0.006436214420643204,0.88
