date,sample,cal day,time (UT),total time,u,wd,umax,sin,sout,lin,lout,net rad,t,rh_i,rh,tw,p,h,zu,zt,rho,q,teq,ts,qs,zq
2011-02-07,63240.5,37.979166666666664,12.25,38.48952083333334,3.5685416666666665,173.54541666666668,5.313541666666667,131.07708333333332,72.11312500000001,175.65604166666665,270.8183333333333,-38.42875,275.7639583333333,18.506249999999998,0.1850625,0.16458333333333333,774.5975500999435,-2.325416666666667,3.5,3.5,0.624919075535798,0.0011046289091566413,278.4996719548215,264.1731805843236,0.0023576851767664092,3.5
2011-02-08,63288.5,38.979166666666664,12.25,39.48954166666667,4.8325000000000005,181.81354166666665,6.546250000000001,133.24791666666667,74.00020833333333,173.843125,269.84270833333335,-38.78333333333333,272.138125,26.853333333333335,0.27215,-3.050625,774.5975500999435,-2.3333333333333335,3.5,3.5,0.7187822497471821,0.0012208864752189076,275.173166487458,263.9488494311021,0.002289324891345292,3.5
2011-02-09,63336.5,39.979166666666664,12.25,40.48954166666667,4.179166666666666,178.27520833333335,5.509166666666666,130.941875,73.18208333333334,183.21020833333333,272.1402083333333,-33.174375000000005,272.3008333333333,32.59104166666666,0.33018333333333333,-2.935625,774.5975500999435,-2.337083333333333,3.5,3.5,0.7145668044826025,0.0015146433803057905,276.0638527232646,264.50042673154724,0.0024174572277744118,3.5
2011-02-10,63384.5,40.979166666666664,12.25,41.489583333333336,3.9145833333333333,173.75020833333335,5.4816666666666665,136.456875,75.36229166666666,172.81875,267.11062499999997,-35.346875000000004,271.60854166666667,27.739791666666665,0.28287708333333333,-3.516666666666667,774.5975500999435,-2.345,3.5,3.5,0.7314984642907096,0.001204155341875745,274.6039742253336,263.28249892728917,0.002152901602214351,3.5
2011-02-11,63432.5,41.979166666666664,12.25,42.4895625,2.9589583333333334,179.81687499999998,4.562083333333333,78.41020833333333,53.859375,210.77791666666667,278.59875,-44.80291666666667,272.055,53.007083333333334,0.53796875,-2.8074999999999997,774.5975500999435,-2.3435416666666664,3.5,3.5,0.7201723122483209,0.0024128218595261663,278.0468785063813,266.06413212855955,0.002755270370868122,3.5
2011-02-12,63480.5,42.979166666666664,12.25,43.4895625,4.105625,180.64083333333335,5.3125,128.46020833333333,74.51708333333333,197.370625,275.8279166666667,-26.150208333333335,270.45958333333334,50.63520833333333,0.5204395833333334,-4.277916666666667,774.5975500999435,-2.3529166666666668,3.5,3.5,0.758425737256633,0.002032896109066328,275.5189741219256,265.4122795945777,0.002582757707259643,3.5
2011-02-13,63528.5,43.979166666666664,12.25,44.489583333333336,2.9025,181.51375,3.924166666666667,142.10708333333335,94.3575,233.27791666666667,279.7245833333333,0.33770833333333244,268.51104166666664,65.57541666666667,0.6874937500000001,-5.657916666666666,774.5975500999435,-2.3629166666666666,3.5,3.5,0.7993879537431793,0.002272245335816243,274.1763867729309,266.28286871716466,0.002839713910203628,3.5
2011-02-14,63576.5,44.979166666666664,12.25,45.48954166666667,3.0381250000000004,157.391875,4.281041666666667,90.43958333333335,70.56458333333333,253.74541666666667,282.3752083333333,-9.402708333333333,267.8633333333333,66.833125,0.7042833333333333,-6.209583333333334,774.5975500999435,-2.3675,3.5,3.5,0.8134127426045814,0.002213316728366582,273.3860248528263,266.9564345734141,0.0029784786908939897,3.5
2011-02-15,63624.5,45.979166666666664,12.25,46.489583333333336,2.11875,147.98708333333335,3.1458333333333335,79.42208333333333,66.26270833333334,262.9320833333333,283.9952083333333,-8.40375,267.99125,79.59479166666667,0.8366979166666667,-5.681458333333333,774.5975500999435,-2.361458333333333,3.5,3.5,0.8105241371804718,0.002690927685462426,274.70044262527557,267.3239885020429,0.0030984736989998385,3.5
2011-02-16,63672.5,46.979166666666664,12.25,47.4895625,1.2158333333333333,197.29625,2.2583333333333333,62.039375,62.02666666666667,296.98854166666666,286.59729166666665,-26.490416666666665,268.24645833333335,88.26666666666667,0.92614375,-5.167916666666667,774.5975500999435,-2.2802083333333334,3.5,3.5,0.8064941695032912,0.0030132345436254186,275.7572219585235,267.97839021333635,0.003197718875354366,3.5
