date,year,month,dayofyear,hour,sin,sout,lin,lout,t,rh,vp,p,u,wdir,zu,zt,zq,rho,q,teq,ts,qs
2005-08-02,2005.0,8.0,214.125,11.5,360.1842916666667,105.58912500000001,131.05916666666667,274.68916666666667,266.6607083333333,0.16874875,0.6212195833333333,501.93333333333334,5.340625,163.59025,1.8500000000000003,1.75,1.75,0.48009368867982327,0.0007712302005048301,268.58812477414625,265.0675443906883,0.004042831280026976
2005-08-03,2005.0,8.0,215.125,11.5,354.1802083333334,100.24570833333333,139.70458333333332,280.86875000000003,269.21566666666666,0.12951416666666668,0.6038562500000001,501.7166666666667,3.0985208333333336,82.9415,1.8500000000000003,1.75,1.75,0.4318345735949269,0.0007491400215205516,271.08248320431466,266.5379848794468,0.004598976082562521
2005-08-04,2005.0,8.0,216.125,11.5,348.8188333333333,101.64841666666666,144.26208333333332,282.88416666666666,268.0748541666666,0.3379891666666666,1.3940883333333334,502.09791666666666,2.697791666666667,106.49979166666667,1.8500000000000003,1.75,1.75,0.4551923193385628,0.0017295607740089238,272.3851836726897,266.9688029964551,0.004772706358838932
2005-08-05,2005.0,8.0,217.125,11.5,355.26962499999996,109.08570833333333,144.23125000000002,282.80333333333334,267.56193749999994,0.5008599583333333,1.7902279166666666,502.2416666666666,3.5828124999999997,169.4935416666667,1.8500000000000003,1.75,1.75,0.4633814796452018,0.002221604747233619,273.10694215501945,266.98623979317114,0.004739098143697616
2005-08-06,2005.0,8.0,218.125,11.5,366.59099999999995,119.27033333333333,149.61666666666667,284.58750000000003,266.97904166666666,0.620093,2.18983375,502.24583333333334,4.866145833333333,222.45320833333335,1.8500000000000003,1.75,1.75,0.47424238317191086,0.002717896338089016,273.7640441247747,267.4426444496632,0.004860968688275967
2005-08-07,2005.0,8.0,219.125,11.5,365.61691666666667,116.81816666666667,143.32375,280.16625,266.10377083333333,0.364325,1.1862991666666667,502.4666666666667,3.6948333333333334,210.85375,1.8500000000000003,1.75,1.75,0.49033110534930363,0.0014734498367718126,269.78950441871,266.39184524271417,0.00449449845655074
2005-08-08,2005.0,8.0,220.125,11.5,366.9156666666667,108.28783333333332,131.63333333333333,278.7058333333334,265.9546458333333,0.25375604166666665,0.8396758333333333,502.30625000000003,3.1077708333333334,185.79825000000002,1.8500000000000003,1.75,1.75,0.4929046488233148,0.001044183799088466,268.56643789389324,266.01780349833354,0.004404223036506093
2005-08-09,2005.0,8.0,221.125,11.5,360.5169583333333,107.16172916666666,136.02041666666668,281.0166666666667,267.81879166666664,0.21387941666666666,0.9206029166666667,502.61875000000003,2.1973125000000002,127.85304166666667,1.8500000000000003,1.75,1.75,0.46034299819434543,0.0011427900847074013,270.66544634967084,266.5435575109676,0.004644517075286829
2005-08-10,2005.0,8.0,222.125,11.5,365.6975,110.06720833333333,150.16916666666665,279.71375,267.03097916666667,0.300239875,1.096988375,502.625,4.046791666666667,239.52258333333336,1.8500000000000003,1.75,1.75,0.47463920285537914,0.0013621072915615568,270.43180919922713,266.28094361281427,0.004454308105977495
2005-08-11,2005.0,8.0,223.125,11.5,363.6578333333334,113.73854166666666,153.66625,279.92333333333335,267.15972916666664,0.13453974999999999,0.5127370833333333,502.34999999999997,4.3966875,267.37624999999997,1.8500000000000003,1.75,1.75,0.4723062207440771,0.0006354718018846,268.74768150340213,266.34156763927507,0.00445277796712817
