date,t,rh,u,wd,sin,sout,lin,lout,sr50,p,zu,zt,rho,q,teq,ts,qs,zq
2018-10-22,262.1279166666667,0.28188125,2.568,198.93222916666664,274.10633333333334,163.2562375,141.615625,246.52729166666666,,526.9312500000002,1.964068567961166,1.4652548543689319,0.5796223108850337,0.0007903711923629756,264.1144620851987,257.9037900849055,0.002165000156590046,1.4652548543689319
2018-10-23,260.60104166666673,0.4301854166666666,2.631083333333333,200.37066666666666,259.246125,156.62283333333335,156.00875000000002,245.6604166666667,,526.30625,1.9626122572815528,1.4640898058252427,0.5974615930114832,0.0010779584948455206,263.3133032904002,257.6255465504701,0.002188260195272716,1.4640898058252427
2018-10-24,259.6247916666666,0.3954041666666665,1.9386666666666656,237.90833333333333,253.54802708333332,154.43282500000004,146.8208333333333,238.7447916666666,,526.0583333333335,1.9611559466019421,1.4629247572815534,0.6085284205088898,0.0009125859680254208,261.92326714389094,255.67985796082348,0.0019760279400760495,1.4629247572815534
2018-10-25,260.46752083333325,0.38566458333333337,1.877645833333334,202.46395833333335,232.39154791666658,149.5065625,145.59375000000006,232.68562500000004,,526.9687500000003,1.9596996359223304,1.4617597087378638,0.6001650723451648,0.0009994142794546804,262.9806554975955,254.11566619833994,0.0016405334359050766,1.4617597087378638
2018-10-26,261.2308333333333,0.22958541666666663,2.102979166666667,211.163625,275.8612895833333,176.12032291666674,133.8545833333333,234.18395833333338,0.7553125000000004,528.1041666666666,1.9582433252427176,1.4605946601941746,0.5927582462448694,0.0006261986552299726,262.8054408767479,254.5580404664603,0.0016519650586798052,1.4605946601941746
2018-10-27,260.20729166666655,0.20235833333333333,2.5937499999999996,226.29312499999995,270.3029125,168.63075416666666,132.12625,232.34229166666668,,529.1229166666666,1.9567870145631077,1.4594296116504857,0.6056135201473832,0.0005101425091523682,261.49128951440076,254.01768116167008,0.0016088870729578598,1.4594296116504857
2018-10-28,259.91341666666665,0.37714583333333335,2.1242083333333337,178.64208333333337,236.88445208333334,149.8068125,159.10249999999996,235.80875,,528.6604166666667,1.955330703883494,1.4582645631067963,0.6078471302830319,0.0009245977518140654,262.2400998378604,254.94018841126817,0.0017919939098137987,1.4582645631067963
2018-10-29,260.65375,0.49089374999999996,2.046145833333333,144.46354166666666,258.2089791666667,165.0738020833333,160.4,239.27062500000008,,528.7000000000002,1.9538743932038838,1.457099514563107,0.6006234795149379,0.0012364475116423673,263.7645791926797,255.90813579693005,0.0019000967408079308,1.457099514563107
2018-10-30,261.40508333333327,0.4296583333333332,2.0911666666666666,192.58333333333337,238.17771041666666,153.9437895833333,159.8272916666667,239.20999999999995,,529.9645833333334,1.9524180825242718,1.4559344660194176,0.5926309687054119,0.0011659386311645842,264.33535210429073,255.88719580507419,0.00189781086582188,1.4559344660194176
2018-10-31,262.58695833333326,0.53026875,1.9240624999999998,201.50166666666658,242.69480625000003,159.19302916666666,163.39020833333333,243.33229166666663,,530.2937500000002,1.95096177184466,1.4547694174757282,0.5774537595629954,0.0015798758562189348,266.55127222880174,256.9966895518814,0.0020879265995509184,1.4547694174757282
2018-11-01,264.51256249999983,0.4640458333333333,2.049770833333334,231.85729166666673,256.44979166666667,164.99168124999997,170.10270833333334,251.543125,,529.2770833333334,1.9495054611650493,1.4536043689320388,0.5498123619829134,0.0015789440757839586,268.4683803555118,259.2110427936189,0.002417987967413066,1.4536043689320388
2018-11-02,264.6575625,0.3689625,3.764229166666666,170.74495833333333,258.4779875,163.04315000000003,162.41999999999993,254.3706250000001,,527.8791666666666,1.9480491504854356,1.4524393203883494,0.5466792773698447,0.0013053503141567553,267.9280026457455,260.0070914980774,0.002483303544155382,1.4524393203883494
2018-11-03,264.08572916666657,0.37973333333333326,4.456499999999999,207.5867708333333,236.77827291666662,143.87814583333332,184.5164583333333,258.3702083333333,,527.4729166666665,1.9465928398058259,1.4512742718446603,0.5545501172750712,0.0012573717532246233,267.23881486142994,261.0606887229475,0.0026615462435386,1.4512742718446603
2018-11-04,263.7491666666667,0.2614916666666667,5.28125,192.6928333333333,257.7789479166667,151.80125416666667,150.80145833333336,252.38125,,525.8604166666664,1.9451365291262135,1.4501092233009707,0.5574925265561187,0.0008541138952220277,265.8922320257229,259.52426304765044,0.0023426757803472697,1.4501092233009707
2018-11-05,263.37987499999997,0.20025833333333343,5.507312500000001,246.9289583333333,258.8614916666666,151.46311458333335,145.98541666666668,249.10812500000006,,525.38125,1.9436802184466018,1.4489441747572815,0.5618971355952024,0.000626288588551617,264.95251512463204,258.68131753492236,0.0021687851761664507,1.4489441747572815
2018-11-06,262.555625,0.17136041666666668,3.9307708333333338,213.93718749999996,259.0699770833333,152.28453125000001,135.90895833333337,239.63333333333335,,525.7916666666669,1.9422239077669907,1.4477791262135924,0.5733189794940612,0.0005097881276357266,263.83658648243266,256.10724749285606,0.0017999592905204268,1.4477791262135924
2018-11-07,261.8265416666666,0.334108125,1.827916666666667,181.12477083333332,247.20891041666667,145.60042291666667,139.77666666666667,238.14125,0.8288333333333334,528.2541666666666,1.940767597087378,1.4466140776699028,0.5836027792821871,0.0009063004713424878,264.1044978161509,255.57689982256568,0.0018887613116116556,1.4466140776699028
2018-11-08,262.9485624999999,0.34237499999999993,1.7085625,189.221,244.58269375,144.7797458333333,145.12249999999997,242.49999999999991,0.8260416666666669,526.84375,1.939311286407768,1.4454490291262134,0.5683854825000283,0.0010632287421830369,265.6166891051288,256.80171949139884,0.0020238188769656613,1.4454490291262134
2018-11-09,263.47808333333325,0.18187916666666662,2.2259374999999997,189.96875000000009,246.28461458333337,145.73235208333332,142.46083333333337,241.405,0.8253125000000002,525.6458333333334,1.9378549757281547,1.4442839805825243,0.5593656937863078,0.0005843091470276721,264.94459593852906,256.528295091938,0.0019526040378172154,1.4442839805825243
2018-11-10,261.93958333333336,0.3207062499999999,2.7776458333333327,196.01677083333334,248.1420479166666,146.60614583333333,146.91541666666663,242.53437499999995,0.8255625000000001,525.2541666666667,1.936398665048544,1.443118932038835,0.5810955182842203,0.0008842233000768076,264.16281909594255,256.89600154164435,0.0019246938987826144,1.443118932038835
2018-11-11,263.96979166666665,0.3314229166666667,3.4363749999999995,167.16366666666667,242.20385625000003,142.52065625,154.45479166666667,249.5802083333333,0.8270833333333333,526.3499999999998,1.9349423543689321,1.4419538834951453,0.5538758318506433,0.0010648889555189384,266.64151031268153,258.76096461756896,0.0022452000179365235,1.4419538834951453
2018-11-12,264.7827083333333,0.2131375,3.839833333333333,192.36839583333332,241.7919375,140.82242916666667,149.23583333333337,249.65916666666678,,525.347916666667,1.9334860436893198,1.4407888349514566,0.5407200132098625,0.0007498786962582363,266.66248574379216,258.7845095593468,0.0022507098243124695,1.4407888349514566
2018-11-13,262.85939583333334,0.2430270833333333,4.0259583333333335,184.1169166666667,241.41854166666667,140.6025625,146.51354166666664,246.11333333333332,,523.4895833333333,1.9320297330097096,1.4396237864077668,0.5658572084909071,0.0007348353927732191,264.70515397150376,257.8629349418939,0.0020710979900479564,1.4396237864077668
2018-11-14,261.200625,0.36580000000000007,4.078,209.664,227.33325000000002,132.62152083333334,147.36791666666664,243.50249999999997,,523.7333333333332,1.930573422330096,1.4384587378640774,0.5880743028793703,0.0009328523662388526,263.5482471763898,257.185622249143,0.0019354625497004663,1.4384587378640774
2018-11-15,263.5355625,0.2392854166666667,5.142062499999999,226.14902083333325,238.404375,137.95945833333332,146.998125,247.67291666666665,,524.2666666666665,1.9291171116504862,1.4372936893203885,0.5582368233632049,0.0007795960299743329,265.49187152599853,258.3042123748396,0.002105921815496904,1.4372936893203885
2018-11-16,263.9425416666665,0.2577020833333334,6.1245208333333325,198.6720833333333,235.83024999999998,136.25577083333334,153.87354166666665,250.4952083333333,,524.0145833333331,1.9276608009708733,1.436128640776699,0.5512956956839932,0.0008371614250814894,266.04320097156375,259.0462944677908,0.0022382551241823738,1.436128640776699
2018-11-17,264.1404166666667,0.18416458333333333,5.424916666666668,232.56516666666664,232.22624999999996,134.43429166666667,148.3760416666667,247.21062499999996,,523.9437499999998,1.926204490291262,1.4349635922330097,0.5494140065455897,0.000622674588266642,265.702559927227,258.2021698833193,0.0020598546355855467,1.4349635922330097
2018-11-18,264.35581249999996,0.2834416666666667,5.9909583333333325,199.70879166666666,238.10775000000004,140.18637500000003,167.17041666666674,253.81604166666668,,525.5270833333333,1.924748179611651,1.4337985436893204,0.5483340093763241,0.0009730196665001185,266.7954646517762,259.8936328990728,0.002423553373191834,1.4337985436893204
2018-11-19,263.5647291666666,0.36984374999999997,4.683645833333335,212.14931249999998,179.63300000000004,112.23631250000001,188.96333333333337,254.83354166666675,,526.6020833333333,1.923291868932038,1.4326334951456312,0.5605656692516633,0.0012127600440028842,266.6060799703777,260.101831108913,0.002538000327450753,1.4326334951456312
2018-11-20,263.02812499999993,0.12035395833333336,4.017395833333333,188.89083333333326,227.8827083333334,130.46675000000002,129.1929166666667,238.60145833333343,,526.1,1.9218355582524282,1.4314684466019416,0.5677402210124034,0.0003662598005242073,263.9483154657765,255.87608762792698,0.0017117372812133751,1.4314684466019416
2018-11-21,264.4531041666667,0.13361229166666663,2.847437500000001,253.47687499999998,221.20766666666665,126.15174999999999,137.40749999999997,241.05708333333337,,528.8416666666668,1.9203316790915392,1.4302288849398985,0.5508955133351014,0.00046428226395834276,265.61739618019897,256.50592929583075,0.00183972645895382,1.4302288849398985
2018-11-22,266.4485625,0.14219374999999995,3.0416041666666676,169.4413958333333,216.57841666666664,123.66754166666665,152.76833333333335,249.07312500000003,,530.0416666666667,1.917694805194805,1.4272145562770564,0.5202065065751599,0.0005802040434471622,267.90042674011784,258.63088276586257,0.0021997149004882558,1.4272145562770564
2018-11-23,265.1110208333334,0.12996666666666662,3.7107499999999987,231.4602708333334,218.19302083333335,123.23568749999997,140.58312500000002,244.49187499999996,,528.8999999999999,1.914577922077922,1.4234483225108223,0.5401119350025327,0.00047075079653130096,266.29087375031446,257.41025894367164,0.002000313600876096,1.4234483225108223
2018-11-24,264.0324999999999,0.12472083333333335,2.575854166666667,246.4885416666667,214.75031250000006,120.12093749999998,134.9791666666666,239.41937500000006,,530.597916666667,1.9114610389610391,1.4196820887445887,0.5589389316867218,0.00041882623363719316,265.08322233325896,256.0313184205333,0.001809924323115875,1.4196820887445887
2018-11-25,264.57060416666656,0.1968291666666667,2.0708124999999993,228.44729166666664,210.83247916666664,118.32302083333332,145.30125,241.2141666666666,,530.3854166666666,1.9083441558441558,1.4159158549783548,0.5491821987617886,0.0006812801469952364,266.2784780549084,256.5014512910037,0.001903930277746821,1.4159158549783548
2018-11-26,263.1224583333333,0.13941354166666667,3.029458333333333,224.56383333333326,212.94972916666666,118.68675,134.60083333333333,237.83770833333332,,529.6895833333334,1.9052272727272725,1.4121496212121212,0.5702330562458827,0.0004386227875856725,264.22369624747137,255.58986166411455,0.00175772562288346,1.4121496212121212
2018-11-27,264.43210416666665,0.16305479166666667,2.162916666666667,216.91458333333333,211.5679375,117.4985625,145.24645833333332,238.63625,,531.9562499999998,1.9021103896103895,1.4083833874458878,0.5549342695471796,0.000548674877079741,265.8083143848633,255.8392185882035,0.0017497887264470002,1.4083833874458878
2018-11-28,266.3805625,0.21510416666666665,2.41125,220.63958333333335,185.17375,107.92210416666661,194.4058333333334,255.68083333333337,,531.7666666666667,1.8989935064935064,1.4046171536796532,0.5232583153078046,0.000876289803836036,268.5726202924437,260.36273844977944,0.002508040560004514,1.4046171536796532
2018-11-29,264.17862499999995,0.22707916666666672,3.4023749999999993,199.8850416666667,198.41004166666673,114.09404166666668,161.94145833333337,249.34145833333332,,529.9395833333332,1.8958766233766235,1.40085091991342,0.5566737370034137,0.0007638007180686897,266.0943453914264,258.72702968364075,0.0021824948497053418,1.40085091991342
